忠別,chuubetsu,忠_chuu:別_betsu
神居,kamui,神_kamu:居_i
神居古潭,kamuikotan,神_kamu:居_i:古_ko:潭_tan
春志内,harushinai,春_haru:志_shi:内_nai
江丹別,etanbetsu,江_e:丹_tan:別_betsu
近文,chikabumi,近_chika:文_bumi
牛朱別,ushishubetsu,牛_ushi:朱_shu:別_betsu
鬼斗牛,kitoushi,鬼_ki:斗_to:牛_ushi
比布,pippu,比_pip:布_pu
蘭留,ranru,蘭_ran:留_ru
伊香牛,ikaushi,伊_i:香_ka:牛_ushi
愛別,aibetsu,愛_ai:別_betsu
石狩狩布,ishikarikarippu,石_ishi:狩_kari:狩_karip:布_pu
安足間,antaroma,安_an:足_taro:間_ma
当麻,touma,当_tou:麻_ma
留辺蘂,rubeshibe,留_ru:辺_be:蘂_shibe
美馬牛,bibaushi,美_bi:馬_ba:牛_ushi

石狩,ishikari,石_ishi:狩_kari
厚田,atsuta,厚_atsu:田_ta
知津狩,shiratsukari,知_shira:津_tsu:狩_kari
峰泊,minetomari,峰_mine:泊_tomari
押琴,oshikoto,押_oshi:琴_koto
小谷,kotani,小_ko:谷_tani
別狩,betsukari,別_betsu:狩_kari
尻苗,shirinae,尻_shiri:苗_nae
送毛,okurike,送_okuri:毛_ke
愛冠,aikappu,愛_ai:冠_kappu
浜益,hamamasu,浜_hama:益_masu
雄冬,ofuyu,雄_o:冬_fuyu

雨竜,uryuu,雨_u:竜_ryuu
恵岱別,etaibetsu,恵_e:岱_tai:別_betsu
秩父別,chippubetsu,秩_chip:父_pu:別_betsu
多度志,tadoshi,多_ta:度_do:志_shi
屈狩志内,kutsukarishinai,屈_kutsu:狩_kari:志_shi:内_nai
幌内,horonai,幌_horo:内_nai
幌加内,horokanai,幌_horo:加_ka:内_nai
沼牛,numaushi,沼_numa:牛_ushi
長留内,osarunai,長_osa:留_ru:内_nai
添牛内,soeushinai,添_soe:牛_ushi:内_nai
朱鞠内,shumarinai,朱_shu:鞠_mari:内_nai
母子里,moshiri,母_mo:子_shi:里_ri
妹背牛,moseushi,妹_mo:背_se:牛_ushi

札幌,sapporo,札_sap:幌_poro
琴似,kotoni,琴_koto:似_ni
藻岩,moiwa,藻_mo:岩_iwa
発寒,hassamu,発_has:寒_samu
手稲,teine,手_te:稲_ine
苗穂,naebo,苗_nae:穂_bo
丘珠,okadama,丘_oka:珠_dama
釜谷臼,kamayausu,釜_kama:谷_ya:臼_usu
茨戸,barato,茨_bara:戸_to
豊平,toyohira,豊_toyo:平_hira
平岸,hiragishi,平_hira:岸_gishi
真駒内,makomanai,真_ma:駒_koma:内_nai

当別,toubetsu,当_tou:別_betsu
篠津,shinotsu,篠_shino:津_tsu
野幌,nopporo,野_nop:幌_poro
江別太,ebetsubuto,江_e:別_betsu:太_buto
幌向,horomui,幌_horo:向_mui
志文,shibun,志_shi:文_bun
幾春別,ikushunbetsu,幾_iku:春_shun:別_betsu
市来知,ichikishiri,市_ichi:来_ki:知_shiri
茶志内,chashinai,茶_cha:志_shi:内_nai
光珠内,koushunai,光_kou:珠_shu:内_nai
美唄,bibai,美_bi:唄_bai
奈井江,naie,奈_na:井_i:江_e
歌志内,utashinai,歌_uta:志_shi:内_nai
江部乙,ebeotsu,江_e:部_be:乙_otsu
知来乙,chiraiotsu,知_chi:来_rai:乙_otsu
厚軽臼内,atsukaruusunai,厚_atsu:軽_karu:臼_usu:内_nai
札比内,sappinai,札_sap:比_pi:内_nai
浦臼内,urausunai,浦_ura:臼_usu:内_nai

長都,osatsu,長_osa:都_tsu
馬追,maoi,馬_ma:追_oi
蘭越,rankoshi,蘭_ran:越_koshi

夕張,yuubari,夕_yuu:張_bari
雨煙別,uenbetsu,雨_u:煙_en:別_betsu
志幌加別,shihorokabetsu,志_shi:幌_horo:加_ka:別_betsu

空知,sorachi,空_sora:知_chi
芦別,ashibetsu,芦_ashi:別_betsu
野花南,nokanan,野_no:花_ka:南_nan
奔茂尻,honmoshiri,奔_hon:茂_mo:尻_shiri
布礼別,nunorebetsu,布_nuno:礼_re:別_betsu
西達布,nishitappu,西_nishi:達_tap:布_pu
